"Campaign Name","Ad Set Name","Ad Name",Age,Gender,"Campaign Name","Result Type",Results,Reach,Impressions,"Cost per Result","Amount Spent (INR)",Frequency,"Result Rate","Clicks (All)","CTR (All)","CPM (Cost per 1,000 Impressions)","Reporting Starts","Reporting Ends"
"UCMAS 2nd Ad Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Image Ad",25-34,female,"UCMAS 2nd Ad Demo Class 19th September","On-Facebook Leads",34,14232,35351,151.79647058824,5161.08,2.4839094997189,0.096178325931374,640,1.81041555,145.99530423,2020-09-06,2020-10-05
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad",25-34,female,"UCMAS Demo Class 19th September","On-Facebook Leads",36,16212,34585,132.17933655143,4758.4561158514,2.1332963237108,0.10409136909065,680,1.96617031,137.58728107,2020-09-06,2020-10-05
"UCMAS Online Classes Ghana 24th Sept 2020","W + Parents + Intersts",Video,25-34,female,"UCMAS Online Classes Ghana 24th Sept 2020","On-Facebook Leads",43,19025,41113,92.925679024933,3995.8041980721,2.1609986859396,0.1045897891178,733,1.78289106,97.19077173,2020-09-06,2020-10-05
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,25-34,female,"UCMAS Online Classes Ghana 01st Oct 2020","On-Facebook Leads",26,18929,40347,129.1548406072,3358.0258557873,2.1314913624597,0.064440974545815,727,1.80186879,83.22863796,2020-09-06,2020-10-05
"UCMAS Online Classes Ghana 24th Sept 2020","W + Parents + Intersts",Video,35-44,female,"UCMAS Online Classes Ghana 24th Sept 2020","On-Facebook Leads",20,5821,14979,92.50301131393,1850.0602262786,2.5732691977323,0.13352026169971,351,2.34328059,123.51026279,2020-09-06,2020-10-05
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,35-44,female,"UCMAS Online Classes Ghana 01st Oct 2020","On-Facebook Leads",20,6232,16015,84.937159866095,1698.7431973219,2.5698010269576,0.12488292226038,375,2.34155479,106.07200733,2020-09-06,2020-10-05
"UCMAS 2nd Ad Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Image Ad",35-44,female,"UCMAS 2nd Ad Demo Class 19th September","On-Facebook Leads",8,1116,3119,70.37125,562.97,2.7948028673835,0.25649246553382,77,2.46873998,180.49695415,2020-09-06,2020-10-05
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad",35-44,female,"UCMAS Demo Class 19th September","On-Facebook Leads",4,1076,2450,99.038043550842,396.15217420337,2.2769516728625,0.16326530612245,63,2.57142857,161.69476498,2020-09-06,2020-10-05
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad",18-24,female,"UCMAS Demo Class 19th September","On-Facebook Leads",2,1184,2329,155.78085497261,311.56170994523,1.9670608108108,0.08587376556462,53,2.27565479,133.77488619,2020-09-06,2020-10-05
"UCMAS 2nd Ad Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Image Ad",18-24,female,"UCMAS 2nd Ad Demo Class 19th September","On-Facebook Leads",1,948,1956,279.89,279.89,2.0632911392405,0.051124744376278,39,1.99386503,143.09304703,2020-09-06,2020-10-05
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,45-54,female,"UCMAS Online Classes Ghana 01st Oct 2020",,,208,416,,69.340946890777,2,,6,1.44230769,166.68496849,2020-09-06,2020-10-05
"UCMAS Online Classes Ghana 24th Sept 2020","W + Parents + Intersts",Video,45-54,female,"UCMAS Online Classes Ghana 24th Sept 2020",,,152,386,,62.305575649257,2.5394736842105,,6,1.55440415,161.41340842,2020-09-06,2020-10-05
