"Campaign Name","Ad Set Name","Ad Name","Time of Day (Viewer's Time Zone)",Day,Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (INR)","Cost per Result",Starts,Ends,"Result Rate","Clicks (All)","CTR (All)","CPM (Cost per 1,000 Impressions)","Reporting Starts","Reporting Ends"
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"20:00:00 - 20:59:59",2020-10-06,1152,1154,1.0017361111111,"On-Facebook Leads",1,98.8,98.8,2020-10-01,Ongoing,0.086655112651646,24,2.0797227,85.6152513,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"11:00:00 - 11:59:59",2020-10-06,534,536,1.0037453183521,,,47.97,,2020-10-01,Ongoing,,5,0.93283582,89.49626866,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"06:00:00 - 06:59:59",2020-10-06,884,888,1.0045248868778,,,80.38,,2020-10-01,Ongoing,,14,1.57657658,90.51801802,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"01:00:00 - 01:59:59",2020-10-06,144,144,1,,,11.87,,2020-10-01,Ongoing,,2,1.38888889,82.43055556,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"02:00:00 - 02:59:59",2020-10-06,149,149,1,,,15.24,,2020-10-01,Ongoing,,2,1.34228188,102.28187919,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"03:00:00 - 03:59:59",2020-10-06,163,164,1.0061349693252,,,17.28,,2020-10-01,Ongoing,,2,1.2195122,105.36585366,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"04:00:00 - 04:59:59",2020-10-06,189,192,1.015873015873,,,19.71,,2020-10-01,Ongoing,,7,3.64583333,102.65625,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"00:00:00 - 00:59:59",2020-10-06,192,194,1.0104166666667,,,21.12,,2020-10-01,Ongoing,,5,2.57731959,108.86597938,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"17:00:00 - 17:59:59",2020-10-06,237,238,1.0042194092827,,,18.13,,2020-10-01,Ongoing,,2,0.84033613,76.17647059,2020-10-06,2020-10-06
"UCMAS Online Classes Ghana 01st Oct 2020","W + Parents + Intersts",Image,"16:00:00 - 16:59:59",2020-10-06,435,435,1,,,31.52,,2020-10-01,Ongoing,,8,1.83908046,72.45977011,2020-10-06,2020-10-06
